locus_tag	ftype	length_bp	gene	EC_number	COG	product
CBKIEKNK_13805	CDS	1599	xylB_10	2.7.1.17		Xylulose kinase
CBKIEKNK_13806	CDS	543				hypothetical protein
CBKIEKNK_13807	CDS	831				hypothetical protein
CBKIEKNK_13808	CDS	687	regX3_6		COG0745	Sensory transduction protein regX3
CBKIEKNK_13809	CDS	1563	sasA_29	2.7.-.-		Adaptive-response sensory-kinase SasA
CBKIEKNK_13810	CDS	1695				hypothetical protein
CBKIEKNK_13811	CDS	483				hypothetical protein
CBKIEKNK_13812	CDS	183				hypothetical protein
CBKIEKNK_13813	CDS	1359	murF_6	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
CBKIEKNK_13814	CDS	1335	pepC_3	3.4.22.40	COG3579	Aminopeptidase C
CBKIEKNK_13815	CDS	1455	murE_6	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
CBKIEKNK_13816	CDS	561				hypothetical protein
CBKIEKNK_13817	CDS	1077				hypothetical protein
CBKIEKNK_13818	CDS	876	gtaB_3	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
CBKIEKNK_13819	CDS	465	nrdR_3		COG1327	Transcriptional repressor NrdR
CBKIEKNK_13820	CDS	1926	yheS_6		COG0488	putative ABC transporter ATP-binding protein YheS
CBKIEKNK_13821	CDS	1305	mtaB_3	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
CBKIEKNK_13822	CDS	1533		2.7.4.-	COG2326	Polyphosphate:AMP phosphotransferase
CBKIEKNK_13823	CDS	1161	nagA_10	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
CBKIEKNK_13824	CDS	177				hypothetical protein
CBKIEKNK_13825	CDS	2211	rnr_5	3.1.13.1	COG0557	Ribonuclease R
CBKIEKNK_13826	CDS	1371	murD_5	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
CBKIEKNK_13827	CDS	1770		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
CBKIEKNK_13828	CDS	729	cobB_5	2.3.1.286	COG0846	NAD-dependent protein deacetylase
CBKIEKNK_13829	CDS	768	exoA_5	3.1.11.2	COG0708	Exodeoxyribonuclease
CBKIEKNK_13830	CDS	525	cypB_1	5.2.1.8		Peptidyl-prolyl cis-trans isomerase B
CBKIEKNK_13831	CDS	1308	pdp_4	2.4.2.2	COG0213	Pyrimidine-nucleoside phosphorylase
CBKIEKNK_13832	CDS	420	cdd_4	3.5.4.5	COG0295	Cytidine deaminase
CBKIEKNK_13833	CDS	954	kdgK_2	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
CBKIEKNK_13834	CDS	966	gmuF_3	5.3.1.8	COG1482	putative mannose-6-phosphate isomerase GmuF
CBKIEKNK_13835	CDS	1350	mrdA_3	3.4.16.4		Peptidoglycan D,D-transpeptidase MrdA
CBKIEKNK_13836	CDS	1281	ectB	2.6.1.76		Diaminobutyrate--2-oxoglutarate transaminase
CBKIEKNK_13837	CDS	432				hypothetical protein
CBKIEKNK_13838	CDS	516				hypothetical protein
CBKIEKNK_13839	CDS	1128	prfB_5			Peptide chain release factor 2
CBKIEKNK_13840	CDS	1041	yesR_2	3.2.1.172	COG4225	Unsaturated rhamnogalacturonyl hydrolase YesR
CBKIEKNK_13841	CDS	714				hypothetical protein
CBKIEKNK_13842	CDS	1797		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
CBKIEKNK_13843	CDS	1836			COG1132	putative ABC transporter ATP-binding protein
CBKIEKNK_13844	CDS	306				hypothetical protein
CBKIEKNK_13845	CDS	663				hypothetical protein
CBKIEKNK_13846	CDS	1407				hypothetical protein
CBKIEKNK_13847	CDS	528				hypothetical protein
CBKIEKNK_13848	CDS	207				hypothetical protein
CBKIEKNK_13849	CDS	567				hypothetical protein
CBKIEKNK_13850	CDS	312				hypothetical protein
CBKIEKNK_13851	CDS	726				hypothetical protein
CBKIEKNK_13852	CDS	1455				hypothetical protein
CBKIEKNK_13853	CDS	843	kduI_3	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
CBKIEKNK_13854	CDS	801	kduD_4	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
CBKIEKNK_13855	CDS	687	ugl_2	3.2.1.179		Unsaturated glucuronyl hydrolase
CBKIEKNK_13856	CDS	408				hypothetical protein
CBKIEKNK_13857	CDS	1056	iolG_15	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
CBKIEKNK_13858	CDS	468	msrC_4	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
CBKIEKNK_13859	CDS	1248				hypothetical protein
CBKIEKNK_13860	CDS	1761	ilvD_3	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
CBKIEKNK_13861	CDS	648	eda_3		COG0800	Putative KHG/KDPG aldolase
CBKIEKNK_13862	CDS	825	iolE_3	4.2.1.44		Inosose dehydratase
CBKIEKNK_13863	CDS	1206	iolG_16	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
CBKIEKNK_13864	CDS	1560				hypothetical protein
CBKIEKNK_13865	CDS	978	yrbG_2		COG0530	Inner membrane protein YrbG
CBKIEKNK_13866	CDS	387				hypothetical protein
CBKIEKNK_13867	CDS	483	sigV_4		COG1595	RNA polymerase sigma factor SigV
CBKIEKNK_13868	CDS	567				hypothetical protein
CBKIEKNK_13869	CDS	1350				hypothetical protein
CBKIEKNK_13870	CDS	846				hypothetical protein
CBKIEKNK_13871	CDS	978	cbh_4	3.5.1.24		Choloylglycine hydrolase
CBKIEKNK_13872	CDS	669				hypothetical protein
CBKIEKNK_13873	CDS	1329				hypothetical protein
CBKIEKNK_13874	CDS	969	iolG_17	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
CBKIEKNK_13875	CDS	786	larC_1	4.99.1.12		Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein
CBKIEKNK_13876	CDS	633				hypothetical protein
CBKIEKNK_13877	CDS	339				hypothetical protein
CBKIEKNK_13878	CDS	1353	mepA_16			Multidrug export protein MepA
CBKIEKNK_13879	CDS	1188				hypothetical protein
CBKIEKNK_13880	CDS	1707	ptsI_5	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
CBKIEKNK_13881	CDS	1560				hypothetical protein
CBKIEKNK_13882	CDS	1545				hypothetical protein
CBKIEKNK_13883	CDS	1467	oadA_2	7.2.4.2	COG0511	Oxaloacetate decarboxylase alpha chain
CBKIEKNK_13884	CDS	1167	gcdB_4	7.2.4.5	COG1883	Glutaconyl-CoA decarboxylase subunit beta
CBKIEKNK_13885	CDS	351	gcdC_2	7.2.4.5	COG0511	Glutaconyl-CoA decarboxylase subunit gamma
CBKIEKNK_13886	CDS	321				hypothetical protein
CBKIEKNK_13887	CDS	570				hypothetical protein
CBKIEKNK_13888	CDS	2049				hypothetical protein
CBKIEKNK_13889	CDS	1110	mnaA_4	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
CBKIEKNK_13890	CDS	717	tarA_1	2.4.1.187		N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
CBKIEKNK_13891	CDS	1422				hypothetical protein
CBKIEKNK_13892	CDS	1125	tagF_1	2.7.8.12	COG1887	Teichoic acid poly(glycerol phosphate) polymerase
CBKIEKNK_13893	CDS	1311				hypothetical protein
CBKIEKNK_13894	CDS	975				hypothetical protein
CBKIEKNK_13895	CDS	1716			COG1132	putative ABC transporter ATP-binding protein
CBKIEKNK_13896	CDS	1779			COG1132	putative ABC transporter ATP-binding protein
CBKIEKNK_13897	CDS	477				hypothetical protein
CBKIEKNK_13898	CDS	960	udk_7	2.7.1.48		Uridine kinase
CBKIEKNK_13899	CDS	1485				hypothetical protein
CBKIEKNK_13900	CDS	2196	relA_5	2.7.6.5	COG0317	GTP pyrophosphokinase
CBKIEKNK_13901	CDS	2067				hypothetical protein
CBKIEKNK_13902	CDS	903	nlhH_2	3.1.1.1	COG0657	Carboxylesterase NlhH
CBKIEKNK_13903	CDS	1584				hypothetical protein
CBKIEKNK_13904	CDS	1200	baiN_2	1.3.1.114	COG2081	3-dehydro-bile acid delta(4,6)-reductase
CBKIEKNK_13905	CDS	495				hypothetical protein
CBKIEKNK_13906	CDS	804	pdaA_1	3.5.1.-	COG0726	Peptidoglycan-N-acetylmuramic acid deacetylase PdaA
CBKIEKNK_13907	CDS	705	srrA_10		COG0745	Transcriptional regulatory protein SrrA
CBKIEKNK_13908	CDS	1674	sasA_30	2.7.-.-		Adaptive-response sensory-kinase SasA
CBKIEKNK_13909	CDS	489				hypothetical protein
CBKIEKNK_13910	CDS	1395	gltD_3	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
CBKIEKNK_13911	CDS	870			COG0543	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit 
CBKIEKNK_13912	CDS	708	sigE_4			RNA polymerase sigma-35 factor
CBKIEKNK_13913	CDS	792				hypothetical protein
CBKIEKNK_13914	CDS	624				hypothetical protein
CBKIEKNK_13915	CDS	948				hypothetical protein
CBKIEKNK_13916	CDS	2751		3.2.1.40		Alpha-L-rhamnosidase
CBKIEKNK_13917	CDS	195				hypothetical protein
CBKIEKNK_13918	CDS	396				hypothetical protein
CBKIEKNK_13919	CDS	477	ssb_7		COG0629	Single-stranded DNA-binding protein
CBKIEKNK_13920	CDS	249				hypothetical protein
CBKIEKNK_13921	CDS	2043		3.2.1.31		Putative beta-glucuronidase
CBKIEKNK_13922	CDS	1053	uxuA_4	4.2.1.8	COG1312	Mannonate dehydratase
CBKIEKNK_13923	CDS	1395	uxaC_2	5.3.1.12	COG1904	Uronate isomerase
CBKIEKNK_13924	CDS	843		1.-.-.-	COG1028	putative oxidoreductase
CBKIEKNK_13925	CDS	735	mta_2		COG0789	HTH-type transcriptional activator mta
CBKIEKNK_13926	CDS	516				hypothetical protein
CBKIEKNK_13927	CDS	1017	pgl_4	3.1.1.31		6-phosphogluconolactonase
CBKIEKNK_13928	CDS	354				hypothetical protein
CBKIEKNK_13929	CDS	180				hypothetical protein
CBKIEKNK_13930	CDS	1098				hypothetical protein
CBKIEKNK_13931	CDS	2109	nagZ_1	3.2.1.52		Beta-hexosaminidase
CBKIEKNK_13932	CDS	597				hypothetical protein
CBKIEKNK_13933	CDS	570				hypothetical protein
CBKIEKNK_13934	CDS	1023				hypothetical protein
CBKIEKNK_13935	CDS	174				hypothetical protein
CBKIEKNK_13936	CDS	1791	dfa1	1.-.-.-		Diflavin flavoprotein A 1
CBKIEKNK_13937	CDS	996				hypothetical protein
CBKIEKNK_13938	CDS	705				hypothetical protein
CBKIEKNK_13939	CDS	327				hypothetical protein
CBKIEKNK_13940	CDS	762	COQ5_7	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
CBKIEKNK_13941	CDS	732				hypothetical protein
CBKIEKNK_13942	CDS	147				hypothetical protein
CBKIEKNK_13943	CDS	546				hypothetical protein
CBKIEKNK_13944	CDS	2163	yhgF_5		COG2183	Protein YhgF
CBKIEKNK_13945	CDS	837	ypbG_3		COG1408	putative protein YpbG
CBKIEKNK_13946	CDS	585				hypothetical protein
CBKIEKNK_13947	CDS	909				hypothetical protein
CBKIEKNK_13948	CDS	867				hypothetical protein
CBKIEKNK_13949	CDS	432				hypothetical protein
CBKIEKNK_13950	CDS	3027	ebgA_3	3.2.1.23	COG3250	Evolved beta-galactosidase subunit alpha
CBKIEKNK_13951	CDS	3090				hypothetical protein
CBKIEKNK_13952	CDS	2754	secA_6			Protein translocase subunit SecA
CBKIEKNK_13953	CDS	795				hypothetical protein
CBKIEKNK_13954	CDS	666	glmU_4			Bifunctional protein GlmU
CBKIEKNK_13955	CDS	1692	mrdB_3	2.4.1.129		Peptidoglycan glycosyltransferase MrdB
CBKIEKNK_13956	CDS	552				hypothetical protein
CBKIEKNK_13957	CDS	2274	glgP_4	2.4.1.1	COG0058	Glycogen phosphorylase
CBKIEKNK_13958	CDS	1563	malQ_2	2.4.1.25	COG1640	4-alpha-glucanotransferase
CBKIEKNK_13959	CDS	498				hypothetical protein
CBKIEKNK_13960	CDS	732				hypothetical protein
CBKIEKNK_13961	CDS	1068	ilvK_2	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase 2
CBKIEKNK_13962	CDS	570	mntP_3		COG1971	putative manganese efflux pump MntP
CBKIEKNK_13963	CDS	501				hypothetical protein
CBKIEKNK_13964	CDS	588				hypothetical protein
CBKIEKNK_13965	CDS	744	pmpR_1		COG0217	Transcriptional regulatory protein PmpR
CBKIEKNK_13966	CDS	417	yjdF_4			putative protein YjdF
CBKIEKNK_13967	CDS	738				hypothetical protein
CBKIEKNK_13968	CDS	615				hypothetical protein
CBKIEKNK_13969	CDS	693				hypothetical protein
CBKIEKNK_13970	CDS	1998				hypothetical protein
CBKIEKNK_13971	CDS	1611				hypothetical protein
CBKIEKNK_13972	CDS	201				hypothetical protein
CBKIEKNK_13973	CDS	270				hypothetical protein
CBKIEKNK_13974	CDS	309	rplU_5		COG0261	50S ribosomal protein L21
CBKIEKNK_13975	CDS	318				hypothetical protein
CBKIEKNK_13976	CDS	279	rpmA_5		COG0211	50S ribosomal protein L27
CBKIEKNK_13977	CDS	612				hypothetical protein
CBKIEKNK_13978	CDS	804				hypothetical protein
CBKIEKNK_13979	CDS	702	catD_2	3.1.1.24	COG0596	3-oxoadipate enol-lactonase 2
CBKIEKNK_13980	CDS	516				hypothetical protein
CBKIEKNK_13981	CDS	1272	obg_4	3.6.5.-	COG0536	GTPase Obg
CBKIEKNK_13982	CDS	369	mrnC_4	3.1.26.-	COG1939	Mini-ribonuclease 3
CBKIEKNK_13983	CDS	915				hypothetical protein
CBKIEKNK_13984	CDS	186				hypothetical protein
CBKIEKNK_13985	CDS	537				hypothetical protein
CBKIEKNK_13986	CDS	1326	rsmF_4	2.1.1.-	COG0144	Ribosomal RNA small subunit methyltransferase F
CBKIEKNK_13987	CDS	1176	tmcAL_4	6.3.4.-	COG1323	tRNA(Met) cytidine acetate ligase
CBKIEKNK_13988	CDS	1209	ackA_6	2.7.2.1	COG0282	Acetate kinase
CBKIEKNK_13989	tRNA	76				tRNA-Thr(cgt)
CBKIEKNK_13990	CDS	387				hypothetical protein
CBKIEKNK_13991	CDS	573				hypothetical protein
CBKIEKNK_13992	CDS	1620	coaE_5	2.7.1.24		Dephospho-CoA kinase
CBKIEKNK_13993	CDS	1068	prfA_5		COG0216	Peptide chain release factor 1
CBKIEKNK_13994	CDS	333				hypothetical protein
CBKIEKNK_13995	CDS	186				hypothetical protein
CBKIEKNK_13996	CDS	1437				hypothetical protein
CBKIEKNK_13997	CDS	894	cdaA_3	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
CBKIEKNK_13998	CDS	1149	csd_2	2.8.1.7		putative cysteine desulfurase
CBKIEKNK_13999	CDS	231				hypothetical protein
CBKIEKNK_14000	CDS	2595				hypothetical protein
CBKIEKNK_14001	CDS	306				hypothetical protein
CBKIEKNK_14002	CDS	1371	trpB_4	4.2.1.20	COG0133	Tryptophan synthase beta chain
CBKIEKNK_14003	CDS	684				hypothetical protein
CBKIEKNK_14004	CDS	468				hypothetical protein
CBKIEKNK_14005	CDS	939				hypothetical protein
CBKIEKNK_14006	CDS	1371	mdtK_6			Multidrug resistance protein MdtK
CBKIEKNK_14007	CDS	1341				hypothetical protein
CBKIEKNK_14008	CDS	345				hypothetical protein
CBKIEKNK_14009	CDS	1263				hypothetical protein
CBKIEKNK_14010	CDS	1308	petC_2	7.1.1.6		Cytochrome b6-f complex iron-sulfur subunit
CBKIEKNK_14011	CDS	2256				hypothetical protein
CBKIEKNK_14012	CDS	303				hypothetical protein
CBKIEKNK_14013	CDS	597	sigH_1		COG1595	RNA polymerase sigma-H factor
CBKIEKNK_14014	CDS	591				hypothetical protein
CBKIEKNK_14015	CDS	630	gph_12	3.1.3.18		Phosphoglycolate phosphatase
CBKIEKNK_14016	CDS	465				hypothetical protein
CBKIEKNK_14017	CDS	924	metAA_3	2.3.1.31	COG1897	Homoserine O-acetyltransferase
CBKIEKNK_14018	rRNA	1532				16S ribosomal RNA
CBKIEKNK_14019	tRNA	76				tRNA-Ala(tgc)
CBKIEKNK_14020	tRNA	77				tRNA-Ile(gat)
CBKIEKNK_14021	rRNA	2828				23S ribosomal RNA
CBKIEKNK_14022	tRNA	76				tRNA-Lys(ctt)
CBKIEKNK_14023	tRNA	75				tRNA-Glu(ctc)
CBKIEKNK_14024	tRNA	76				tRNA-Asn(gtt)
CBKIEKNK_14025	CDS	480	mshD_6	2.3.1.189		Mycothiol acetyltransferase
CBKIEKNK_14026	CDS	1122				hypothetical protein
CBKIEKNK_14027	CDS	1206				hypothetical protein
CBKIEKNK_14028	CDS	1104				hypothetical protein
CBKIEKNK_14029	CDS	939				hypothetical protein
CBKIEKNK_14030	CDS	2247	mshA_11	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
CBKIEKNK_14031	CDS	453		2.3.1.-		Acetyltransferase
CBKIEKNK_14032	CDS	969	rluC_3	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
CBKIEKNK_14033	CDS	462				hypothetical protein
CBKIEKNK_14034	CDS	771				hypothetical protein
CBKIEKNK_14035	CDS	1827				hypothetical protein
CBKIEKNK_14036	CDS	1875	barA	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
CBKIEKNK_14037	CDS	2274				hypothetical protein
CBKIEKNK_14038	CDS	1575				hypothetical protein
CBKIEKNK_14039	CDS	978	dppC_2		COG1173	Dipeptide transport system permease protein DppC
CBKIEKNK_14040	CDS	1749	btuD_28	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
CBKIEKNK_14041	CDS	1305	btuD_29	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
CBKIEKNK_14042	CDS	1053				hypothetical protein
CBKIEKNK_14043	CDS	1791				hypothetical protein
CBKIEKNK_14044	CDS	1677				hypothetical protein
CBKIEKNK_14045	CDS	2601	valS_5	6.1.1.9		Valine--tRNA ligase
CBKIEKNK_14046	CDS	834				hypothetical protein
CBKIEKNK_14047	CDS	1263		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase
CBKIEKNK_14048	CDS	1518				hypothetical protein
CBKIEKNK_14049	CDS	1446	glpK_4	2.7.1.30	COG0554	Glycerol kinase
CBKIEKNK_14050	CDS	942	aptB_4	2.2.1.-	COG3958	Apulose-4-phosphate transketolase subunit B
CBKIEKNK_14051	CDS	837	aptA_4	2.2.1.-	COG3959	Apulose-4-phosphate transketolase subunit A
CBKIEKNK_14052	CDS	1404				hypothetical protein
CBKIEKNK_14053	CDS	1035	cytR_2		COG1609	HTH-type transcriptional repressor CytR
CBKIEKNK_14054	CDS	4044	mdtC_8			Multidrug resistance protein MdtC
CBKIEKNK_14055	CDS	618	hisH_3	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
CBKIEKNK_14056	CDS	762	hisF_3	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
CBKIEKNK_14057	CDS	867				hypothetical protein
CBKIEKNK_14058	tRNA	74				tRNA-Gln(ctg)
CBKIEKNK_14059	tRNA	77				tRNA-Pro(cgg)
CBKIEKNK_14060	CDS	1152				IS3 family transposase ISLmo5
CBKIEKNK_14061	CDS	3690				hypothetical protein
CBKIEKNK_14062	CDS	165				hypothetical protein
CBKIEKNK_14063	CDS	324				hypothetical protein
CBKIEKNK_14064	CDS	333				hypothetical protein
CBKIEKNK_14065	CDS	240				hypothetical protein
CBKIEKNK_14066	CDS	480				hypothetical protein
CBKIEKNK_14067	CDS	741				hypothetical protein
CBKIEKNK_14068	CDS	480				hypothetical protein
CBKIEKNK_14069	CDS	453				hypothetical protein
CBKIEKNK_14070	CDS	168				hypothetical protein
CBKIEKNK_14071	CDS	870				hypothetical protein
CBKIEKNK_14072	CDS	1686				hypothetical protein
CBKIEKNK_14073	CDS	273				hypothetical protein
CBKIEKNK_14074	CDS	447				hypothetical protein
CBKIEKNK_14075	CDS	720				hypothetical protein
CBKIEKNK_14076	CDS	390				hypothetical protein
CBKIEKNK_14077	CDS	516				IS630 family transposase ISMno11
CBKIEKNK_14078	CDS	408				hypothetical protein
CBKIEKNK_14079	CDS	501	ylaC_2			RNA polymerase sigma factor YlaC
CBKIEKNK_14080	CDS	921				hypothetical protein
CBKIEKNK_14081	CDS	447				hypothetical protein
CBKIEKNK_14082	CDS	1218				hypothetical protein
CBKIEKNK_14083	CDS	672	yknY_12	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
CBKIEKNK_14084	CDS	156				hypothetical protein
CBKIEKNK_14085	CDS	429				hypothetical protein
CBKIEKNK_14086	CDS	480				hypothetical protein
CBKIEKNK_14087	CDS	369				hypothetical protein
CBKIEKNK_14088	CDS	1131				hypothetical protein
CBKIEKNK_14089	CDS	846				hypothetical protein
CBKIEKNK_14090	CDS	297				hypothetical protein
CBKIEKNK_14091	CDS	1065				hypothetical protein
CBKIEKNK_14092	CDS	717				hypothetical protein
CBKIEKNK_14093	CDS	387				hypothetical protein
CBKIEKNK_14094	CDS	885				hypothetical protein
CBKIEKNK_14095	CDS	252				hypothetical protein
CBKIEKNK_14096	CDS	345				hypothetical protein
CBKIEKNK_14097	CDS	777				hypothetical protein
CBKIEKNK_14098	CDS	4455				hypothetical protein
CBKIEKNK_14099	CDS	339				hypothetical protein
CBKIEKNK_14100	CDS	333				hypothetical protein
CBKIEKNK_14101	CDS	588				hypothetical protein
CBKIEKNK_14102	CDS	633				hypothetical protein
CBKIEKNK_14103	CDS	237				hypothetical protein
CBKIEKNK_14104	CDS	351				hypothetical protein
CBKIEKNK_14105	CDS	810				hypothetical protein
CBKIEKNK_14106	CDS	204				hypothetical protein
CBKIEKNK_14107	CDS	168	cadA_7	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
CBKIEKNK_14108	CDS	144	cadA_8	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
CBKIEKNK_14109	CDS	540				hypothetical protein
CBKIEKNK_14110	CDS	534	yfcJ_2			putative MFS-type transporter YfcJ
CBKIEKNK_14111	CDS	408	mdtG_2			Multidrug resistance protein MdtG
CBKIEKNK_14112	CDS	855				hypothetical protein
CBKIEKNK_14113	CDS	555	ylaC_3			RNA polymerase sigma factor YlaC
CBKIEKNK_14114	CDS	756				hypothetical protein
CBKIEKNK_14115	CDS	375				hypothetical protein
CBKIEKNK_14116	CDS	879				hypothetical protein
CBKIEKNK_14117	CDS	726	agrA_5		COG3279	Accessory gene regulator protein A
CBKIEKNK_14118	CDS	420				hypothetical protein
CBKIEKNK_14119	CDS	558	sutR_2		COG1396	HTH-type transcriptional regulator SutR
CBKIEKNK_14120	CDS	879	gloB_3	3.1.2.6		Hydroxyacylglutathione hydrolase
CBKIEKNK_14121	CDS	495				hypothetical protein
CBKIEKNK_14122	CDS	480				hypothetical protein
CBKIEKNK_14123	CDS	390				hypothetical protein
CBKIEKNK_14124	CDS	504				hypothetical protein
CBKIEKNK_14125	CDS	492				hypothetical protein
CBKIEKNK_14126	CDS	396				hypothetical protein
CBKIEKNK_14127	CDS	744	rhaR_23			HTH-type transcriptional activator RhaR
CBKIEKNK_14128	CDS	351	hxlR_2		COG1733	HTH-type transcriptional activator HxlR
CBKIEKNK_14129	CDS	519	nfrA2_2	1.5.1.39	COG0778	FMN reductase [NAD(P)H]
CBKIEKNK_14130	CDS	423			COG0789	putative HTH-type transcriptional regulator
CBKIEKNK_14131	CDS	210				hypothetical protein
CBKIEKNK_14132	CDS	624	gpmA_10	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
CBKIEKNK_14133	CDS	267				hypothetical protein
CBKIEKNK_14134	CDS	546				hypothetical protein
CBKIEKNK_14135	CDS	372	hxlR_3		COG1733	HTH-type transcriptional activator HxlR
CBKIEKNK_14136	CDS	918	glsA_3	3.5.1.2	COG2066	Glutaminase
CBKIEKNK_14137	CDS	474				hypothetical protein
CBKIEKNK_14138	CDS	678				hypothetical protein
CBKIEKNK_14139	CDS	1323	pnbA_2	3.1.1.-	COG2272	Para-nitrobenzyl esterase
CBKIEKNK_14140	CDS	597				hypothetical protein
CBKIEKNK_14141	CDS	165				hypothetical protein
CBKIEKNK_14142	CDS	531				hypothetical protein
CBKIEKNK_14143	CDS	267				hypothetical protein
CBKIEKNK_14144	CDS	213				hypothetical protein
CBKIEKNK_14145	CDS	471				hypothetical protein
CBKIEKNK_14146	CDS	1809				hypothetical protein
CBKIEKNK_14147	CDS	216				hypothetical protein
CBKIEKNK_14148	CDS	864				hypothetical protein
CBKIEKNK_14149	CDS	453				hypothetical protein
CBKIEKNK_14150	CDS	417				IS630 family transposase ISPa47
CBKIEKNK_14151	CDS	480				hypothetical protein
CBKIEKNK_14152	CDS	1287				hypothetical protein
CBKIEKNK_14153	CDS	438				hypothetical protein
CBKIEKNK_14154	CDS	2265				hypothetical protein
CBKIEKNK_14155	CDS	381				hypothetical protein
CBKIEKNK_14156	CDS	690				hypothetical protein
CBKIEKNK_14157	CDS	204				hypothetical protein
CBKIEKNK_14158	CDS	795	pknD_4	2.7.11.1		Serine/threonine-protein kinase PknD
CBKIEKNK_14159	CDS	339				hypothetical protein
CBKIEKNK_14160	CDS	345				hypothetical protein
CBKIEKNK_14161	CDS	1335				hypothetical protein
CBKIEKNK_14162	CDS	330				hypothetical protein
CBKIEKNK_14163	CDS	1470	noc_7			Nucleoid occlusion protein
CBKIEKNK_14164	CDS	342				hypothetical protein
CBKIEKNK_14165	CDS	702				hypothetical protein
CBKIEKNK_14166	CDS	480				hypothetical protein
CBKIEKNK_14167	CDS	1842				hypothetical protein
CBKIEKNK_14168	CDS	165				hypothetical protein
CBKIEKNK_14169	CDS	219				hypothetical protein
CBKIEKNK_14170	CDS	366				hypothetical protein
CBKIEKNK_14171	CDS	2376				hypothetical protein
CBKIEKNK_14172	CDS	759	bceA_6		COG1136	Bacitracin export ATP-binding protein BceA
CBKIEKNK_14173	CDS	666	regX3_7		COG0745	Sensory transduction protein regX3
CBKIEKNK_14174	CDS	1224	sasA_31	2.7.-.-		Adaptive-response sensory-kinase SasA
CBKIEKNK_14175	CDS	399				hypothetical protein
CBKIEKNK_14176	CDS	459				hypothetical protein
CBKIEKNK_14177	CDS	279				hypothetical protein
CBKIEKNK_14178	CDS	1326				hypothetical protein
CBKIEKNK_14179	CDS	321				hypothetical protein
CBKIEKNK_14180	CDS	963				hypothetical protein
CBKIEKNK_14181	CDS	342				hypothetical protein
CBKIEKNK_14182	CDS	363				hypothetical protein
CBKIEKNK_14183	CDS	756				hypothetical protein
CBKIEKNK_14184	CDS	807				hypothetical protein
CBKIEKNK_14185	CDS	210				hypothetical protein
CBKIEKNK_14186	CDS	1656				hypothetical protein
CBKIEKNK_14187	CDS	432				hypothetical protein
CBKIEKNK_14188	CDS	549				hypothetical protein
CBKIEKNK_14189	CDS	795	rsrIM_1	2.1.1.72		Modification methylase RsrI
CBKIEKNK_14190	CDS	678				hypothetical protein
CBKIEKNK_14191	CDS	375				hypothetical protein
CBKIEKNK_14192	CDS	2265				hypothetical protein
CBKIEKNK_14193	CDS	771				hypothetical protein
CBKIEKNK_14194	CDS	258				hypothetical protein
CBKIEKNK_14195	CDS	678				hypothetical protein
CBKIEKNK_14196	CDS	174				hypothetical protein
CBKIEKNK_14197	CDS	351				hypothetical protein
CBKIEKNK_14198	CDS	597				hypothetical protein
